jumlah_kk,jumlah_pen,kepadatan_,nama_kab_s,nama_kec_s,nama_prop_
1437,5188,64.2,ACEH SELATAN,BAKONGAN,ACEH
6581,23398,315.89,ACEH SELATAN,KLUET UTARA,ACEH
4072,13972,78.32,ACEH SELATAN,KLUET SELATAN,ACEH
3865,13470,241.79,ACEH SELATAN,LABUHAN HAJI,ACEH
6177,20973,43.87,ACEH SELATAN,MEUKEK,ACEH
4864,16229,149.14,ACEH SELATAN,SAMADUA,ACEH
4716,15796,82.98,ACEH SELATAN,SAWANG,ACEH
7120,23791,226.78,ACEH SELATAN,TAPAKTUAN,ACEH
1517,5442,7.19,ACEH SELATAN,TRUMON,ACEH
5172,17784,157.91,ACEH SELATAN,PASI RAJA,ACEH
3031,10260,102.35,ACEH SELATAN,LABUHAN HAJI TIMUR,ACEH
5244,17659,229.43,ACEH SELATAN,LABUHAN HAJI BARAT,ACEH
2618,8818,10.63,ACEH SELATAN,KLUET TENGAH,ACEH
3016,10366,30.45,ACEH SELATAN,KLUET TIMUR,ACEH
1751,6114,136.56,ACEH SELATAN,BAKONGAN TIMUR,ACEH
2164,7952,26.45,ACEH SELATAN,TRUMON TIMUR,ACEH
1925,6699,25.31,ACEH SELATAN,KOTA BAHAGIA,ACEH
1717,6343,48.35,ACEH SELATAN,TRUMON TENGAH,ACEH
3998,15701,477.09,ACEH TENGGARA,LAWE ALAS,ACEH
5338,21169,269.77,ACEH TENGGARA,LAWE SIGALA-GALA,ACEH
5135,18649,250.79,ACEH TENGGARA,BAMBEL,ACEH
8245,30338,2951.17,ACEH TENGGARA,BABUSSALAM,ACEH
3879,14540,132.93,ACEH TENGGARA,BADAR,ACEH
3948,15394,217.4,ACEH TENGGARA,BABUL MAKMUR,ACEH
3645,14187,9.43,ACEH TENGGARA,DARUL HASANAH,ACEH
4634,16933,495.84,ACEH TENGGARA,LAWE BULAN,ACEH
3256,12007,637.65,ACEH TENGGARA,BUKIT TUSAM,ACEH
3734,13612,705.28,ACEH TENGGARA,SEMADAM,ACEH
2356,9266,12.04,ACEH TENGGARA,BABUL RAHMAH,ACEH
2978,11024,42.28,ACEH TENGGARA,KETAMBE,ACEH
2279,8701,151.06,ACEH TENGGARA,DELENG POKHKISEN,ACEH
2247,8326,253.76,ACEH TENGGARA,LAWE SUMUR,ACEH
1282,4766,4.77,ACEH TENGGARA,TANOH ALAS,ACEH
1665,7071,64.21,ACEH TENGGARA,LEUSER,ACEH
4994,19904,336.67,ACEH TIMUR,DARUL AMAN,ACEH
6745,26315,230.01,ACEH TIMUR,JULOK,ACEH
9715,38262,1406.69,ACEH TIMUR,IDI RAYEUK,ACEH
7679,28853,57.92,ACEH TIMUR,BIREM BAYEUN,ACEH
1622,6517,3.38,ACEH TIMUR,SERBAJADI,ACEH
4546,17311,201.78,ACEH TIMUR,NURUSSALAM,ACEH
11460,45537,234.35,ACEH TIMUR,PEUREULAK,ACEH
3398,13351,52.93,ACEH TIMUR,RANTAU SELAMAT,ACEH
5538,21793,264.96,ACEH TIMUR,SIMPANG ULIM,ACEH
6943,26688,72.88,ACEH TIMUR,RANTAU PEUREULAK,ACEH
6672,25582,83.92,ACEH TIMUR,PANTE BIDARI,ACEH
7184,27380,224.19,ACEH TIMUR,MADAT,ACEH
4822,17909,67.61,ACEH TIMUR,INDRA MAKMU,ACEH
2853,11223,393.79,ACEH TIMUR,IDI TUNONG,ACEH
2199,8541,98.56,ACEH TIMUR,BANDA ALAM,ACEH
3155,12376,303.18,ACEH TIMUR,PEUDAWA,ACEH
3632,14564,181.03,ACEH TIMUR,PEUREULAK TIMUR,ACEH
4208,17028,292.88,ACEH TIMUR,PEUREULAK BARAT,ACEH
3284,12986,125.24,ACEH TIMUR,SUNGAI RAYA,ACEH
989,3913,8.92,ACEH TIMUR,SIMPANG JERNIH,ACEH
1723,6936,233.14,ACEH TIMUR,DARUL IHSAN,ACEH
956,3691,382.88,ACEH TIMUR,DARUL FALAH,ACEH
1701,6463,339.44,ACEH TIMUR,IDI TIMUR,ACEH
2465,9138,34.28,ACEH TIMUR,PEUNARON,ACEH
2851,10113,5.32,ACEH TENGAH,LINGE,ACEH
6547,23090,243.85,ACEH TENGAH,SILIH NARA,ACEH
10785,39055,1295.36,ACEH TENGAH,BEBESEN,ACEH
6030,21215,71.56,ACEH TENGAH,PEGASING,ACEH
3007,10388,20.8,ACEH TENGAH,BINTANG,ACEH
4336,14460,24.34,ACEH TENGAH,KETOL,ACEH
5067,17548,493.89,ACEH TENGAH,KEBAYAKAN,ACEH
2455,8415,250.89,ACEH TENGAH,KUTE PANANG,ACEH
2802,9898,55.6,ACEH TENGAH,CELALA,ACEH
5957,20805,327.12,ACEH TENGAH,LAUT TAWAR,ACEH
2022,7023,97.5,ACEH TENGAH,ATU LINTANG,ACEH
3026,10322,99.19,ACEH TENGAH,JAGONG JEGET,ACEH
2360,7907,574.64,ACEH TENGAH,BIES,ACEH
2325,8168,10.61,ACEH TENGAH,RUSIP ANTARA,ACEH
16874,59470,971.57,ACEH BARAT,JOHAN PAHWALAN,ACEH
6304,20305,101.08,ACEH BARAT,KAWAY XVI,ACEH
1282,4120,4.62,ACEH BARAT,SUNGAI MAS,ACEH
4066,12626,80.37,ACEH BARAT,WOYLA,ACEH
4802,15145,115.08,ACEH BARAT,SAMATIGA,ACEH
1970,6514,86.23,ACEH BARAT,BUBON,ACEH
3543,11489,101.71,ACEH BARAT,ARONGAN LAMBALEK,ACEH
3152,10411,17.32,ACEH BARAT,PANTE CEUREUMEN,ACEH
8508,28887,222.17,ACEH BARAT,MEUREUBO,ACEH
2767,8005,40.66,ACEH BARAT,WOYLA BARAT,ACEH
1783,5280,39.08,ACEH BARAT,WOYLA TIMUR,ACEH
2200,6867,51.59,ACEH BARAT,PANTON REU,ACEH
2961,9847,65.47,ACEH BESAR,LHOONG,ACEH
4841,16219,183.66,ACEH BESAR,LHOKNGA,ACEH
6084,21709,108.51,ACEH BESAR,INDRAPURI,ACEH
6208,22992,57.44,ACEH BESAR,SEULIMEUM,ACEH
5254,19354,321.33,ACEH BESAR,MONTASIK,ACEH
4193,14927,309.18,ACEH BESAR,SUKAMAKMUR,ACEH
14237,52354,2208.1,ACEH BESAR,DARUL IMARAH,ACEH
5582,19665,487.0,ACEH BESAR,PEUKAN BADA,ACEH
5531,21025,159.29,ACEH BESAR,MESJID RAYA,ACEH
8403,30870,1252.33,ACEH BESAR,INGIN JAYA,ACEH
6961,24895,407.91,ACEH BESAR,KUTA BARO,ACEH
5988,21594,486.9,ACEH BESAR,DARUSSALAM,ACEH
1398,4485,48.94,ACEH BESAR,PULO ACEH,ACEH
3185,11642,35.4,ACEH BESAR,LEMBAH SEULAWAH,ACEH
2557,9178,15.37,ACEH BESAR,KOTA JANTHO,ACEH
3644,13688,40.89,ACEH BESAR,KOTA COT GLIE,ACEH
1723,6407,376.88,ACEH BESAR,KUTA MALAKA,ACEH
1766,5995,213.95,ACEH BESAR,SIMPANG TIGA,ACEH
2201,7709,319.88,ACEH BESAR,DARUL KAMAL,ACEH
6247,20791,1314.22,ACEH BESAR,BAITUSSALAM,ACEH
4145,15067,2149.36,ACEH BESAR,KRUENG BARONA JAYA,ACEH
949,3216,18.81,ACEH BESAR,LEUPUNG,ACEH
3046,11032,262.11,ACEH BESAR,BLANG BINTANG,ACEH
5902,20488,458.24,PIDIE,BATEE,ACEH
5741,21802,796.57,PIDIE,DELIMA,ACEH
1789,6685,15.15,PIDIE,GEUMPANG,ACEH
5320,18905,353.5,PIDIE,GEULUMPANG TIGA,ACEH
6393,23077,932.78,PIDIE,INDRA JAYA,ACEH
6298,21837,777.12,PIDIE,KEMBANG TANJONG,ACEH
5934,20656,3979.96,PIDIE,KOTA SIGLI,ACEH
2842,10257,309.13,PIDIE,MILA,ACEH
5576,20214,132.5,PIDIE,MUARA TIGA,ACEH
5828,21277,1271.03,PIDIE,MUTIARA,ACEH
6686,23753,91.73,PIDIE,PADANG TIJI,ACEH
5893,20478,1102.75,PIDIE,PEUKAN BARO,ACEH
12715,45645,1549.92,PIDIE,PIDIE,ACEH
6198,21628,536.28,PIDIE,SAKTI,ACEH
6534,23686,940.67,PIDIE,SIMPANG TIGA,ACEH
7886,27671,34.97,PIDIE,TANGSE,ACEH
2378,8354,47.5,PIDIE,TIRO/TRUSEB,ACEH
2961,10593,209.85,PIDIE,KEUMALA,ACEH
9819,35926,1185.68,PIDIE,MUTIARA TIMUR,ACEH
1972,7073,840.02,PIDIE,GRONG-GRONG,ACEH
2571,9333,13.28,PIDIE,MANE,ACEH
3164,11158,936.07,PIDIE,GLUMPANG BARO,ACEH
1994,7244,270.8,PIDIE,TITEUE,ACEH
9668,35919,275.35,ACEH UTARA,BAKTIYA,ACEH
12248,45117,1493.94,ACEH UTARA,DEWANTARA,ACEH
6955,25414,215.98,ACEH UTARA,KUTA MAKMUR,ACEH
12648,46847,328.15,ACEH UTARA,LHOKSUKON,ACEH
4758,17686,687.1,ACEH UTARA,MATANGKULI,ACEH
6916,26477,1049.84,ACEH UTARA,MUARA BATU,ACEH
5668,20165,587.9,ACEH UTARA,MEURAH MULIA,ACEH
7251,26418,828.67,ACEH UTARA,SAMUDERA,ACEH
6704,24729,321.28,ACEH UTARA,SEUNUDDON,ACEH
5117,18318,779.49,ACEH UTARA,SYAMTALIRA ARON,ACEH
5740,20838,585.83,ACEH UTARA,SYAMTALIRA BAYU,ACEH
6727,23999,131.91,ACEH UTARA,TANAH LUAS,ACEH
2724,9392,615.47,ACEH UTARA,TANAH PASIR,ACEH
11466,42600,454.84,ACEH UTARA,T. JAMBO AYE,ACEH
9661,36784,102.45,ACEH UTARA,SAWANG,ACEH
5127,18726,278.04,ACEH UTARA,NISAM,ACEH
5734,19642,64.37,ACEH UTARA,COT GIREK,ACEH
6112,21705,106.32,ACEH UTARA,LANGKAHAN,ACEH
4920,18411,239.7,ACEH UTARA,BAKTIYA BARAT,ACEH
3808,14185,77.49,ACEH UTARA,PAYA BAKONG,ACEH
2955,10415,631.59,ACEH UTARA,NIBONG,ACEH
2579,9262,133.27,ACEH UTARA,SIMPANG KRAMAT,ACEH
2518,8586,386.93,ACEH UTARA,LAPANG,ACEH
2183,8026,227.37,ACEH UTARA,PIRAK TIMUR,ACEH
1437,5242,22.53,ACEH UTARA,GEUREDONG PASE,ACEH
2175,7900,303.15,ACEH UTARA,BANDA BARO,ACEH
3532,13092,77.23,ACEH UTARA,NISAM ANTARA,ACEH
1881,7005,27.78,SIMEULUE,SIMEULUE TENGAH,ACEH
2026,8305,41.78,SIMEULUE,SALANG,ACEH
2087,7918,48.35,SIMEULUE,TEUPAH BARAT,ACEH
6720,26369,147.14,SIMEULUE,SIMEULUE TIMUR,ACEH
1339,5375,32.52,SIMEULUE,TELUK DALAM,ACEH
2602,10948,27.39,SIMEULUE,SIMEULUE BARAT,ACEH
2394,9056,39.37,SIMEULUE,TEUPAH SELATAN,ACEH
1096,4828,27.55,SIMEULUE,ALAPAN,ACEH
1757,6313,103.93,SIMEULUE,TEUPAH TENGAH,ACEH
866,3210,194.66,SIMEULUE,SIMEULUE CUT,ACEH
1050,4437,228.83,ACEH SINGKIL,PULAU BANYAK,ACEH
3692,15727,96.15,ACEH SINGKIL,SIMPANG KANAN,ACEH
5287,20250,100.23,ACEH SINGKIL,SINGKIL,ACEH
10477,40613,246.96,ACEH SINGKIL,GUNUNG MERIAH,ACEH
1852,7007,29.67,ACEH SINGKIL,KOTA BAHARU,ACEH
2893,11335,48.27,ACEH SINGKIL,SINGKIL UTARA,ACEH
1846,7984,30.42,ACEH SINGKIL,DANAU PARIS,ACEH
2167,9500,60.95,ACEH SINGKIL,SURO MAKMUR,ACEH
2010,7082,70.43,ACEH SINGKIL,SINGKOHOR,ACEH
710,2693,35.46,ACEH SINGKIL,KUALA BARU,ACEH
719,3335,11.63,ACEH SINGKIL,PULAU BANYAK BARAT,ACEH
6965,25732,244.28,BIREUEN,SAMALANGA,ACEH
6804,24709,181.07,BIREUEN,JEUNIEB,ACEH
7606,27505,86.75,BIREUEN,PEUDADA,ACEH
9439,36281,458.09,BIREUEN,JEUMPA,ACEH
13973,52630,911.66,BIREUEN,PEUSANGAN,ACEH
4059,15533,232.63,BIREUEN,MAKMUR,ACEH
6351,23621,548.05,BIREUEN,GANDAPURA,ACEH
2392,8734,89.06,BIREUEN,PANDRAH,ACEH
8623,32766,119.29,BIREUEN,JULI,ACEH
7292,28808,769.86,BIREUEN,JANGKA,ACEH
7094,27036,156.95,BIREUEN,SIMPANG MAMPLAM,ACEH
3158,11949,112.94,BIREUEN,PEULIMBANG,ACEH
13045,49270,2627.73,BIREUEN,KOTA JUANG,ACEH
4945,18799,1100.0,BIREUEN,KUALA,ACEH
3275,11873,117.41,BIREUEN,PEUSANGAN SIBLAH KRUENG,ACEH
4134,15014,129.11,BIREUEN,PEUSANGAN SELATAN,ACEH
6046,22610,615.24,BIREUEN,KUTA BLANG,ACEH
6123,22627,27.54,ACEH BARAT DAYA,BLANG PIDIE,ACEH
3832,13513,60.98,ACEH BARAT DAYA,TANGAN-TANGAN,ACEH
4350,15272,808.47,ACEH BARAT DAYA,MANGGENG,ACEH
6799,24341,1287.2,ACEH BARAT DAYA,SUSOH,ACEH
6190,21306,80.9,ACEH BARAT DAYA,KUALA BATEE,ACEH
5620,20304,43.39,ACEH BARAT DAYA,BABAH ROT,ACEH
2634,8922,764.52,ACEH BARAT DAYA,SETIA,ACEH
3148,11076,714.58,ACEH BARAT DAYA,JEUMPA,ACEH
3265,11326,182.56,ACEH BARAT DAYA,LEMBAH SABIL,ACEH
7862,29344,190.36,GAYO LUES,BLANGKEJEREN,ACEH
2486,8871,30.97,GAYO LUES,KUTAPANJANG,ACEH
1297,4485,20.36,GAYO LUES,RIKIT GAIB,ACEH
2527,9153,13.7,GAYO LUES,TERANGUN,ACEH
1350,4913,3.06,GAYO LUES,PINING,ACEH
1608,5934,24.0,GAYO LUES,BLANGPEGAYON,ACEH
2387,8667,11.87,GAYO LUES,PUTERI BETUNG,ACEH
1782,6299,12.78,GAYO LUES,DABUN GELANG,ACEH
2184,7519,21.69,GAYO LUES,BLANGJERANGO,ACEH
1660,5906,11.95,GAYO LUES,TERIPE JAYA,ACEH
1171,4279,18.76,GAYO LUES,PANTAN CUACA,ACEH
4198,12614,50.91,ACEH JAYA,TEUNOM,ACEH
4876,15802,21.59,ACEH JAYA,KRUENG SABEE,ACEH
2556,8345,17.46,ACEH JAYA,SETIA BHAKTI,ACEH
2120,7167,13.95,ACEH JAYA,SAMPOINIET,ACEH
4345,14565,26.26,ACEH JAYA,JAYA,ACEH
2473,7857,18.27,ACEH JAYA,PANGA,ACEH
2129,6858,32.74,ACEH JAYA,INDRA JAYA,ACEH
1909,6403,18.07,ACEH JAYA,DARUL HIKMAH,ACEH
2088,6447,17.2,ACEH JAYA,PASIE RAYA,ACEH
6046,21252,252.31,NAGAN RAYA,KUALA,ACEH
5052,16531,349.34,NAGAN RAYA,SEUNAGAN,ACEH
4270,13759,60.94,NAGAN RAYA,SEUNAGAN TIMUR,ACEH
4331,14165,10.57,NAGAN RAYA,BEUTONG,ACEH
14610,49139,46.4,NAGAN RAYA,DARUL MAKMUR,ACEH
3005,9603,170.69,NAGAN RAYA,SUKA MAKMUE,ACEH
5120,17367,230.58,NAGAN RAYA,KUALA PESISIR,ACEH
4433,14601,35.91,NAGAN RAYA,TADU RAYA,ACEH
2757,9194,73.43,NAGAN RAYA,TRIPA MAKMUR,ACEH
637,2061,94.76,NAGAN RAYA,BEUTONG ATEUH BANGGALANG,ACEH
8683,32341,154.06,ACEH TAMIANG,MANYAK PAYED,ACEH
5895,22078,170.38,ACEH TAMIANG,BENDAHARA,ACEH
11616,42062,403.43,ACEH TAMIANG,KARANG BARU,ACEH
7357,27344,162.29,ACEH TAMIANG,SERUWAY,ACEH
5548,19646,8018.78,ACEH TAMIANG,KOTA KUALASINPANG,ACEH
10171,36563,220.07,ACEH TAMIANG,KEJURUAN MUDA,ACEH
5448,19661,41.58,ACEH TAMIANG,TAMIANG HULU,ACEH
10320,36645,489.32,ACEH TAMIANG,RANTAU,ACEH
3335,12368,204.03,ACEH TAMIANG,BANDA MULIA,ACEH
3588,13693,66.89,ACEH TAMIANG,BANDAR PUSAKA,ACEH
4885,18239,40.81,ACEH TAMIANG,TENGGULUN,ACEH
1846,7093,50.75,ACEH TAMIANG,SEKERAK,ACEH
3764,13345,59.41,BENER MERIAH,PINTU RIME GAYO,ACEH
5546,19522,123.53,BENER MERIAH,PERMATA,ACEH
552,1986,2.08,BENER MERIAH,SYIAH UTAMA,ACEH
7762,27351,284.7,BENER MERIAH,BANDAR,ACEH
7644,27366,245.35,BENER MERIAH,BUKIT,ACEH
7442,25970,435.23,BENER MERIAH,WIH PESAM,ACEH
5858,19983,148.67,BENER MERIAH,TIMANG GAJAH,ACEH
1367,4982,367.13,BENER MERIAH,BENER KELIPAH,ACEH
1379,4703,30.51,BENER MERIAH,MESIDAH,ACEH
2762,9301,247.96,BENER MERIAH,GAJAH PUTIH,ACEH
6790,22560,57.64,PIDIE JAYA,MEUREUDU,ACEH
4522,15960,350.69,PIDIE JAYA,ULIM,ACEH
2810,10150,819.21,PIDIE JAYA,JANGKA BUAYA,ACEH
7847,27292,140.96,PIDIE JAYA,BANDAR DUA,ACEH
3575,12240,725.55,PIDIE JAYA,MEURAH DUA,ACEH
10776,36525,166.13,PIDIE JAYA,BANDAR BARU,ACEH
2698,9075,464.19,PIDIE JAYA,PANTERAJA,ACEH
7290,23786,317.44,PIDIE JAYA,TRIENGGADENG,ACEH
9053,31746,7522.75,KOTA BANDA ACEH,BAITURRAHMAN,ACEH
12091,42402,4690.49,KOTA BANDA ACEH,KUTA ALAM,ACEH
6289,21223,2496.82,KOTA BANDA ACEH,MEURAXA,ACEH
9568,32745,2180.09,KOTA BANDA ACEH,SYIAH KUALA,ACEH
6844,24234,5558.26,KOTA BANDA ACEH,LUENG BATA,ACEH
4078,13108,3581.42,KOTA BANDA ACEH,KUTA RAJA,ACEH
6572,23686,4681.03,KOTA BANDA ACEH,BANDA RAYA,ACEH
7034,24688,5585.52,KOTA BANDA ACEH,JAYA BARU,ACEH
6933,24982,4695.86,KOTA BANDA ACEH,ULEE KARENG,ACEH
5871,19450,366.57,KOTA SABANG,SUKAKARYA,ACEH
6070,20590,281.94,KOTA SABANG,SUKAJAYA,ACEH
13023,48305,1837.39,KOTA LHOKSEUMAWE,MUARA DUA,ACEH
23059,82100,7879.08,KOTA LHOKSEUMAWE,BANDA SAKTI,ACEH
6916,25208,490.43,KOTA LHOKSEUMAWE,BLANG MANGAT,ACEH
9487,35011,682.61,KOTA LHOKSEUMAWE,MUARA SATU,ACEH
3998,15128,261.05,KOTA LANGSA,LANGSA TIMUR,ACEH
10662,38627,834.28,KOTA LANGSA,LANGSA BARAT,ACEH
13178,44788,7695.53,KOTA LANGSA,LANGSA KOTA,ACEH
9057,31888,1144.17,KOTA LANGSA,LANGSA LAMA,ACEH
14537,51993,868.43,KOTA LANGSA,LANGSA BARO,ACEH
7872,31491,274.57,KOTA SUBULUSSALAM,SIMPANG KIRI,ACEH
3453,14487,75.51,KOTA SUBULUSSALAM,PENANGGALAN,ACEH
3084,13079,59.5,KOTA SUBULUSSALAM,RUNDENG,ACEH
4008,16029,31.55,KOTA SUBULUSSALAM,SULTAN DAULAT,ACEH
1638,6101,50.0,KOTA SUBULUSSALAM,LONGKIB,ACEH
4020,16910,929.63,TAPANULI TENGAH,BARUS,SUMATERA UTARA
3744,16026,113.35,TAPANULI TENGAH,SORKAM,SUMATERA UTARA
12990,52943,1513.52,TAPANULI TENGAH,PANDAN,SUMATERA UTARA
6122,25391,210.78,TAPANULI TENGAH,PINANGSORI,SUMATERA UTARA
5124,22635,77.98,TAPANULI TENGAH,MANDUAMAS,SUMATERA UTARA
5096,21445,96.17,TAPANULI TENGAH,KOLANG,SUMATERA UTARA
4913,20572,115.02,TAPANULI TENGAH,TAPIAN NAULI,SUMATERA UTARA
4283,18987,112.68,TAPANULI TENGAH,SIBABANGUN,SUMATERA UTARA
3458,14888,71.34,TAPANULI TENGAH,SOSOR GADONG,SUMATERA UTARA
4158,17447,377.31,TAPANULI TENGAH,SORKAM BARAT,SUMATERA UTARA
3760,16386,127.77,TAPANULI TENGAH,SIRANDORUNG,SUMATERA UTARA
3679,16219,262.74,TAPANULI TENGAH,ANDAM DEWI,SUMATERA UTARA
1423,5978,88.88,TAPANULI TENGAH,SITAHUIS,SUMATERA UTARA
3279,13540,103.85,TAPANULI TENGAH,TUKKA,SUMATERA UTARA
6145,26691,152.73,TAPANULI TENGAH,BADIRI,SUMATERA UTARA
1739,7621,86.72,TAPANULI TENGAH,PASARIBU TOBING,SUMATERA UTARA
1252,4853,212.2,TAPANULI TENGAH,BARUS UTARA,SUMATERA UTARA
820,3645,112.74,TAPANULI TENGAH,SUKA BANGUN,SUMATERA UTARA
2869,12965,100.86,TAPANULI TENGAH,LUMUT,SUMATERA UTARA
5403,22067,406.62,TAPANULI TENGAH,SARUDIK,SUMATERA UTARA
10729,41353,373.76,TAPANULI UTARA,TARUTUNG,SUMATERA UTARA
3520,14037,149.01,TAPANULI UTARA,SIATAS BARITA,SUMATERA UTARA
3629,15562,32.89,TAPANULI UTARA,ADIAN KOTING,SUMATERA UTARA
5794,23710,134.85,TAPANULI UTARA,SIPOHOLON,SUMATERA UTARA
3088,12832,77.93,TAPANULI UTARA,PAHAE JULU,SUMATERA UTARA
3050,11987,57.82,TAPANULI UTARA,PAHAE JAE,SUMATERA UTARA
1886,8260,41.07,TAPANULI UTARA,SIMANGUMBAN,SUMATERA UTARA
1994,8378,42.12,TAPANULI UTARA,PURBA TUA,SUMATERA UTARA
11107,48286,195.64,TAPANULI UTARA,SIBORONG-BORONG,SUMATERA UTARA
4183,18290,162.48,TAPANULI UTARA,PAGARAN,SUMATERA UTARA
3337,14880,45.37,TAPANULI UTARA,PARMONANGAN,SUMATERA UTARA
6378,27943,74.82,TAPANULI UTARA,SIPAHUTAR,SUMATERA UTARA
6967,30202,65.32,TAPANULI UTARA,PANGARIBUAN,SUMATERA UTARA
3948,17873,35.0,TAPANULI UTARA,GAROGA,SUMATERA UTARA
3602,14939,201.96,TAPANULI UTARA,MUARA,SUMATERA UTARA
6204,25783,213.44,TAPANULI SELATAN,ANGKOLA BARAT,SUMATERA UTARA
8427,33469,86.46,TAPANULI SELATAN,BATANG TORU,SUMATERA UTARA
5076,20973,72.22,TAPANULI SELATAN,ANGKOLA TIMUR,SUMATERA UTARA
8380,33575,81.81,TAPANULI SELATAN,SIPIROK,SUMATERA UTARA
3407,13863,26.63,TAPANULI SELATAN,SAIPAR DOLOK HOLE,SUMATERA UTARA
7246,32415,102.4,TAPANULI SELATAN,ANGKOLA SELATAN,SUMATERA UTARA
9112,35617,72.06,TAPANULI SELATAN,BATANG ANGKOLA,SUMATERA UTARA
2341,8769,33.42,TAPANULI SELATAN,ARSE,SUMATERA UTARA
2588,10521,118.31,TAPANULI SELATAN,MARANCAR,SUMATERA UTARA
6406,26353,72.07,TAPANULI SELATAN,SAYUR MATINGGI,SUMATERA UTARA
1644,7426,22.96,TAPANULI SELATAN,AEK BILAH,SUMATERA UTARA
3603,15064,54.69,TAPANULI SELATAN,MUARA BATANG TORU,SUMATERA UTARA
4219,16209,119.64,TAPANULI SELATAN,TANO TOMBANGAN ANGKOLA,SUMATERA UTARA
5069,23391,134.78,TAPANULI SELATAN,ANGKOLA SANGKUNUR,SUMATERA UTARA
2202,10454,155.98,NIAS,HILIDUHO,SUMATERA UTARA
4874,23483,329.63,NIAS,GIDO,SUMATERA UTARA
5566,27536,193.7,NIAS,IDANOGAWO,SUMATERA UTARA
4857,25485,131.41,NIAS,BAWOLATO,SUMATERA UTARA
2880,13499,368.83,NIAS,HILISERANGKAI,SUMATERA UTARA
2297,10459,149.01,NIAS,BOTOMUZOI,SUMATERA UTARA
2275,11341,165.78,NIAS,ULUGAWO,SUMATERA UTARA
2248,11352,411.16,NIAS,MA'U,SUMATERA UTARA
1408,7047,214.32,NIAS,SOMOLO-MOLO,SUMATERA UTARA
2555,12118,124.44,NIAS,SOGAE'ADU,SUMATERA UTARA
12419,37171,33.85,LANGKAT,BAHOROK,SUMATERA UTARA
8393,24278,109.85,LANGKAT,SALAPIAN,SUMATERA UTARA
13172,39399,191.66,LANGKAT,KUALA,SUMATERA UTARA
15839,49084,147.8,LANGKAT,SEI BINGEI,SUMATERA UTARA
13802,42836,1021.36,LANGKAT,BINJAI,SUMATERA UTARA
22006,68569,409.78,LANGKAT,SELESAI,SUMATERA UTARA
26188,83353,767.81,LANGKAT,STABAT,SUMATERA UTARA
12837,39902,205.99,LANGKAT,WAMPU,SUMATERA UTARA
23143,69556,301.33,LANGKAT,SECANGGANG,SUMATERA UTARA
18412,55355,527.14,LANGKAT,HINAI,SUMATERA UTARA
22714,71114,396.73,LANGKAT,TANJUNG PURA,SUMATERA UTARA
18352,56260,255.03,LANGKAT,PADANG TUALANG,SUMATERA UTARA
15366,48572,272.71,LANGKAT,GEBANG,SUMATERA UTARA
20623,63638,834.27,LANGKAT,BABALAN,SUMATERA UTARA
14513,45095,298.44,LANGKAT,PANGKALAN SUSU,SUMATERA UTARA
14956,48335,66.44,LANGKAT,BESITANG,SUMATERA UTARA
17630,54003,192.82,LANGKAT,SEI LEPAN,SUMATERA UTARA
7900,24703,275.61,LANGKAT,BRANDAN BARAT,SUMATERA UTARA
12440,38240,42.64,LANGKAT,BATANG SERANGAN,SUMATERA UTARA
9422,28369,136.0,LANGKAT,SAWIT SEBERANG,SUMATERA UTARA
5836,17071,173.98,LANGKAT,SIRAPIT,SUMATERA UTARA
4835,14042,59.47,LANGKAT,KUTAMBARU,SUMATERA UTARA
4233,13385,63.94,LANGKAT,PEMATANG JAYA,SUMATERA UTARA
21859,71962,1661.56,KARO,KABANJAHE,SUMATERA UTARA
13472,46479,1479.75,KARO,BERASTAGI,SUMATERA UTARA
7665,24473,262.28,KARO,BARUSJAHE,SUMATERA UTARA
10358,33274,348.53,KARO,TIGAPANAH,SUMATERA UTARA
5564,21179,87.07,KARO,MEREK,SUMATERA UTARA
7448,22590,170.05,KARO,MUNTE,SUMATERA UTARA
5158,15091,70.22,KARO,JUHAR,SUMATERA UTARA
7442,22456,126.02,KARO,TIGABINANGA,SUMATERA UTARA
6417,21272,120.47,KARO,LAUBALENG,SUMATERA UTARA
6061,20607,60.32,KARO,MARDINGDING,SUMATERA UTARA
4226,12424,478.58,KARO,PAYUNG,SUMATERA UTARA
7095,22151,153.02,KARO,SIMPANG EMPAT,SUMATERA UTARA
4223,12705,53.94,KARO,KUTABULUH,SUMATERA UTARA
2727,9091,394.92,KARO,DOLAT RAYAT,SUMATERA UTARA
4518,14891,458.89,KARO,MERDEKA,SUMATERA UTARA
4261,14110,181.99,KARO,NAMAN TERAN,SUMATERA UTARA
4856,14739,113.42,KARO,TIGANDERKET,SUMATERA UTARA
805,2603,17.54,DELI SERDANG,GUNUNG MERIAH,SUMATERA UTARA
57358,200778,1328.86,DELI SERDANG,TANJUNG MORAWA,SUMATERA UTARA
6054,19484,109.4,DELI SERDANG,SIBOLANGIT,SUMATERA UTARA
9993,33927,196.78,DELI SERDANG,KUTALIMBARU,SUMATERA UTARA
25032,86309,725.35,DELI SERDANG,PANCUR BATU,SUMATERA UTARA
10662,35872,526.14,DELI SERDANG,NAMORAMBE,SUMATERA UTARA
10408,35312,373.47,DELI SERDANG,SIBIRU-BIRU,SUMATERA UTARA
9115,31563,146.72,DELI SERDANG,STM HILIR,SUMATERA UTARA
7018,23520,178.25,DELI SERDANG,BANGUN PURBA,SUMATERA UTARA
